交通量推定不能区間,都道府県,道路種別,沿道状況,延長（ｋｍ）,１２時間平均交通量（台／１２ｈ）／小型車,１２時間平均交通量（台／１２ｈ）／大型車,１２時間平均交通量（台／１２ｈ）／合計,１２時間走行台キロ（千台キロ）／小型車,１２時間走行台キロ（千台キロ）／大型車,１２時間走行台キロ（千台キロ）／合計,２４時間平均交通量（台／日）／小型車,２４時間平均交通量（台／日）／大型車,２４時間平均交通量（台／日）／合計,２４時間走行台キロ（千台キロ）／小型車,２４時間走行台キロ（千台キロ）／大型車,２４時間走行台キロ（千台キロ）／合計,昼夜率,１２時間ピーク比率（％）,１２時間大型車混入率（％）,混雑度
,,一般都道府県道,DID(商業地域),107.6,7381,935,8316,794,101,895,9564,1422,10986,1029,153,1182,1.32,9.8,11.2,0.8
,,,DID(商業地域を除く),173.8,8627,946,9573,1499,164,1664,11134,1517,12651,1935,264,2199,1.32,10,9.9,0.89
,,,その他市街部,66.5,5270,616,5886,350,41,391,6685,913,7598,445,61,505,1.29,10.6,10.5,0.59
,,,平地部,54.9,5764,1001,6765,316,55,371,7431,1346,8777,408,74,482,1.3,10.4,14.8,0.65
,,,山地部,178.8,1651,131,1782,295,23,319,2014,196,2210,360,35,395,1.24,11.9,7.3,0.33
,,,合計,581.6,5598,661,6259,3256,384,3640,7181,1008,8190,4177,586,4763,1.31,10.2,10.6,0.7
,,地方道計,DID(商業地域),295.6,9836,1502,11338,2907,444,3351,13020,2253,15272,3849,666,4515,1.35,9.7,13.2,0.93
,,,DID(商業地域を除く),424.7,10481,1522,12003,4451,646,5098,13762,2346,16108,5845,996,6841,1.34,9.9,12.7,0.99
,,,その他市街部,251.7,8578,1238,9816,2159,312,2471,11207,1881,13088,2821,474,3294,1.33,10.1,12.6,0.79
,,,平地部,129.5,6972,1165,8137,903,151,1054,9035,1621,10656,1170,210,1380,1.31,10.9,14.3,0.83
,,,山地部,322.8,1744,166,1910,563,54,617,2132,235,2367,688,76,764,1.24,11.7,8.7,0.32
,,,合計,1424.3,7712,1128,8839,10984,1606,12590,10091,1700,11791,14373,2421,16794,1.33,10.1,12.8,0.84
,,一般道路計,DID(商業地域),471.4,12228,1895,14123,5764,893,6658,16531,2912,19442,7793,1372,9165,1.38,9.7,13.4,1.01
,,,DID(商業地域を除く),675.9,14036,2622,16658,9487,1772,11259,18823,4040,22863,12723,2731,15453,1.37,9.9,15.7,0.88
,,,その他市街部,363.8,10990,2422,13412,3998,881,4879,14908,3702,18610,5424,1347,6770,1.39,9.9,18.1,0.88
,,,平地部,190,12361,2737,15097,2349,520,2869,16060,4041,20102,3051,768,3819,1.33,10.5,18.1,0.75
,,,山地部,442.4,4412,986,5398,1952,436,2388,5536,1601,7137,2449,708,3157,1.32,10.6,18.3,0.55
,,,合計,2143.5,10987,2101,13087,23550,4503,28053,14667,3231,17899,31439,6926,38365,1.37,10,16.1,0.85
,,合計,DID(商業地域),501.5,13066,2190,15256,6553,1098,7651,17695,3428,21124,8874,1719,10593,1.38,9.7,14.4,0.93
,,,DID(商業地域を除く),781.3,17029,4238,21267,13305,3311,16616,22907,6987,29894,17897,5459,23356,1.41,9.8,19.9,0.82
,,,その他市街部,363.8,10990,2422,13412,3998,881,4879,14908,3702,18610,5424,1347,6770,1.39,9.9,18.1,0.88
,,,平地部,196.3,13909,3325,17234,2730,653,3383,18200,5174,23373,3573,1016,4588,1.36,10.3,19.3,0.77
,,,山地部,475.2,5859,2156,8015,2784,1025,3809,7449,4269,11718,3540,2028,5568,1.46,10.5,26.9,0.66
,,,合計,2318.1,12670,3006,15676,29370,6968,36339,16957,4991,21947,39307,11569,50876,1.4,9.9,19.2,0.82
,,指定市の一般市道,DID(商業地域),50.3,10604,1585,12189,533,80,613,14047,2360,16407,707,119,825,1.35,9.8,13,0.89
,,,DID(商業地域を除く),128.8,10476,1780,12256,1349,229,1579,13836,2649,16485,1782,341,2123,1.35,9.8,14.5,0.98
,,,その他市街部,23.8,16557,2190,18748,394,52,446,22147,3705,25852,527,88,615,1.38,10,11.7,0.92
,,,平地部,0.3,10657,1228,11885,3,-,4,13854,1973,15827,4,1,5,1.33,10.5,10.3,0.56
,,,山地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,合計,203.2,11220,1779,12999,2280,361,2641,14862,2700,17562,3020,549,3569,1.35,9.8,13.7,0.95
,神奈川県（横浜市、川崎市、相模原市を除く）,高速自動車国道,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),36.4,38207,20581,58787,1391,749,2140,50731,40228,90959,1847,1464,3311,1.55,9.6,35,0.75
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,山地部,23,25435,21833,47268,585,502,1087,33731,50137,83868,776,1153,1929,1.77,10.1,46.2,1.05
,,,合計,59.4,33261,21066,54327,1976,1251,3227,44149,44065,88213,2622,2617,5240,1.62,9.7,38.8,0.83
,,一般国道の自動車専用道路,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),6.8,35118,21282,56400,239,145,384,44979,36906,81885,306,251,557,1.45,9.5,37.7,1.05
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,14.6,24767,10139,34905,362,148,510,31418,16514,47932,459,241,700,1.37,10.1,29,0.76
,,,山地部,3.5,25650,16758,42408,90,59,148,32944,30423,63367,115,106,222,1.49,9.8,39.5,1.39
,,,合計,24.9,27718,14112,41830,690,351,1042,35336,24038,59374,880,599,1478,1.42,9.8,33.7,0.91
,,高規格幹線道路,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),43.2,37720,20691,58412,1630,894,2523,49825,39705,89531,2152,1715,3868,1.53,9.5,35.4,0.78
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,14.6,24767,10139,34905,362,148,510,31418,16514,47932,459,241,700,1.37,10.1,29,0.76
,,,山地部,26.5,25464,21163,46626,675,561,1236,33627,47533,81161,891,1260,2151,1.74,10.1,45.4,1.09
,,,合計,84.3,31624,19012,50636,2666,1603,4269,41545,38150,79695,3502,3216,6718,1.57,9.8,37.5,0.85
,,都市高速道路,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,山地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,合計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,高速道路計,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),43.2,37720,20691,58412,1630,894,2523,49825,39705,89531,2152,1715,3868,1.53,9.5,35.4,0.78
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,14.6,24767,10139,34905,362,148,510,31418,16514,47932,459,241,700,1.37,10.1,29,0.76
,,,山地部,26.5,25464,21163,46626,675,561,1236,33627,47533,81161,891,1260,2151,1.74,10.1,45.4,1.09
,,,合計,84.3,31624,19012,50636,2666,1603,4269,41545,38150,79695,3502,3216,6718,1.57,9.8,37.5,0.85
,,高速道路計（一般国道の自動車専用道路を除く）,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),36.4,38207,20581,58787,1391,749,2140,50731,40228,90959,1847,1464,3311,1.55,9.6,35,0.75
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,山地部,23,25435,21833,47268,585,502,1087,33731,50137,83868,776,1153,1929,1.77,10.1,46.2,1.05
,,,合計,59.4,33261,21066,54327,1976,1251,3227,44149,44065,88213,2622,2617,5240,1.62,9.7,38.8,0.83
,,一般国道（直轄）,DID(商業地域),33.2,15239,2692,17931,506,89,595,21347,4353,25700,709,145,853,1.43,9.5,15,1.01
,,,DID(商業地域を除く),72.3,14404,3408,17812,1041,246,1288,20637,5319,25956,1492,385,1877,1.46,9.6,19.1,0.96
,,,その他市街部,4.2,9790,3817,13607,41,16,57,12889,7793,20682,54,33,87,1.52,10.5,28.1,1.65
,,,平地部,2.3,27793,8933,36726,64,21,84,41707,15038,56745,96,35,131,1.55,9.6,24.3,0.76
,,,山地部,20.6,6703,2342,9045,138,48,186,8560,3628,12188,176,75,251,1.35,10.1,25.9,1.04
,,,合計,132.6,13502,3172,16674,1790,421,2211,19059,5061,24120,2527,671,3198,1.45,9.6,19,0.98
,,一般国道（その他）,DID(商業地域),57.3,16769,1811,18580,961,104,1065,22189,3232,25421,1271,185,1457,1.37,10.4,9.7,1.54
,,,DID(商業地域を除く),65.2,16268,3935,20204,1061,257,1317,20819,6480,27299,1357,422,1780,1.35,9.8,19.5,0.56
,,,その他市街部,58.5,9273,2331,11604,542,136,679,12586,3291,15877,736,193,929,1.37,9.8,20.1,0.79
,,,平地部,40.3,20041,5335,25376,808,215,1023,25628,8478,34107,1033,342,1375,1.34,10.1,21,0.69
,,,山地部,56.6,14315,2705,17020,810,153,963,18003,4343,22346,1019,246,1265,1.31,10.3,15.9,0.58
,,,合計,277.9,15048,3112,18160,4182,865,5047,19492,4994,24486,5417,1388,6805,1.35,10.1,17.1,0.72
,,一般国道計,DID(商業地域),90.5,16207,2134,18342,1467,193,1660,21880,3643,25523,1980,330,2310,1.39,10.1,11.6,1.3
,,,DID(商業地域を除く),137.5,15288,3658,18946,2102,503,2605,20723,5869,26592,2849,807,3656,1.4,9.7,19.3,0.71
,,,その他市街部,62.7,9308,2431,11738,584,152,736,12606,3593,16199,790,225,1016,1.38,9.9,20.7,0.83
,,,平地部,42.6,20460,5529,25989,872,236,1107,26496,8833,35329,1129,376,1505,1.36,10,21.3,0.69
,,,山地部,77.2,12284,2608,14892,948,201,1150,15483,4152,19636,1195,321,1516,1.32,10.2,17.5,0.62
,,,合計,410.5,14549,3131,17680,5972,1285,7258,19352,5015,24368,7944,2059,10003,1.38,9.9,17.7,0.78
,,主要地方道（都道府県道）,DID(商業地域),68.9,9810,1086,10896,676,75,751,12751,1787,14538,879,123,1002,1.33,10,10,0.88
,,,DID(商業地域を除く),120.7,10395,1634,12029,1255,197,1452,13670,2432,16102,1650,294,1944,1.34,10,13.6,1.05
,,,その他市街部,133.2,9102,1343,10444,1212,179,1391,11912,2037,13950,1587,271,1858,1.34,10,12.9,0.82
,,,平地部,65.8,7311,1239,8550,481,82,563,9482,1724,11206,624,113,737,1.31,11.5,14.5,0.95
,,,山地部,110,1927,243,2170,212,27,239,2377,320,2697,261,35,297,1.24,11.4,11.2,0.32
,,,合計,498.6,7694,1121,8815,3836,559,4395,10029,1678,11707,5001,837,5837,1.33,10.3,12.7,0.83
,,主要地方道（指定市道）,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,山地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,合計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,主要地方道計,DID(商業地域),68.9,9810,1086,10896,676,75,751,12751,1787,14538,879,123,1002,1.33,10,10,0.88
,,,DID(商業地域を除く),120.7,10395,1634,12029,1255,197,1452,13670,2432,16102,1650,294,1944,1.34,10,13.6,1.05
,,,その他市街部,133.2,9102,1343,10444,1212,179,1391,11912,2037,13950,1587,271,1858,1.34,10,12.9,0.82
,,,平地部,65.8,7311,1239,8550,481,82,563,9482,1724,11206,624,113,737,1.31,11.5,14.5,0.95
,,,山地部,110,1927,243,2170,212,27,239,2377,320,2697,261,35,297,1.24,11.4,11.2,0.32
,,,合計,498.6,7694,1121,8815,3836,559,4395,10029,1678,11707,5001,837,5837,1.33,10.3,12.7,0.83
,,一般都道府県道,DID(商業地域),87.3,7221,714,7936,630,62,693,9273,1170,10443,810,102,912,1.32,9.9,9,0.8
,,,DID(商業地域を除く),68.8,6934,528,7461,477,36,513,8799,918,9717,605,63,669,1.3,10.4,7.1,0.81
,,,その他市街部,39.2,5099,570,5669,200,22,222,6390,820,7210,250,32,283,1.27,10.7,10,0.61
,,,平地部,41.5,5801,903,6704,241,37,278,7468,1249,8717,310,52,362,1.3,10.5,13.5,0.64
,,,山地部,129.5,1761,143,1903,228,18,246,2146,212,2359,278,28,305,1.24,12.1,7.5,0.35
,,,合計,366.3,4849,483,5332,1776,177,1953,6151,756,6907,2253,277,2530,1.3,10.5,9.1,0.65
,,地方道計,DID(商業地域),156.2,8363,878,9242,1306,137,1444,10807,1442,12249,1688,225,1913,1.33,9.9,9.5,0.84
,,,DID(商業地域を除く),189.5,9139,1232,10371,1732,234,1965,11901,1883,13784,2255,357,2612,1.33,10.1,11.9,0.97
,,,その他市街部,172.4,8192,1167,9359,1412,201,1613,10657,1761,12417,1837,304,2141,1.33,10.1,12.5,0.79
,,,平地部,107.3,6727,1109,7836,722,119,841,8703,1540,10243,934,165,1099,1.31,11.2,14.2,0.82
,,,山地部,239.5,1837,188,2026,440,45,485,2252,262,2514,539,63,602,1.24,11.7,9.3,0.33
,,,合計,864.9,6489,851,7340,5612,736,6348,8387,1288,9674,7254,1114,8367,1.32,10.3,11.6,0.77
,,一般道路計,DID(商業地域),246.7,11241,1339,12580,2773,330,3103,14869,2250,17119,3668,555,4223,1.36,10,10.6,1.04
,,,DID(商業地域を除く),327,11724,2252,13977,3834,737,4570,15611,3559,19170,5105,1164,6269,1.37,9.9,16.1,0.8
,,,その他市街部,235.1,8489,1504,9993,1996,354,2349,11177,2249,13426,2628,529,3156,1.34,10,15.1,0.8
,,,平地部,149.9,10630,2365,12995,1593,355,1948,13759,3613,17372,2063,542,2604,1.34,10.5,18.2,0.74
,,,山地部,316.7,4384,778,5162,1388,246,1635,5477,1210,6688,1735,383,2118,1.3,10.7,15.1,0.49
,,,合計,1275.4,9083,1585,10668,11584,2022,13606,11916,2487,14403,15198,3172,18370,1.35,10.1,14.9,0.77
,,合計,DID(商業地域),246.7,11241,1339,12580,2773,330,3103,14869,2250,17119,3668,555,4223,1.36,10,10.6,1.04
,,,DID(商業地域を除く),363.4,14377,4088,18465,5225,1486,6710,19129,7232,26361,6951,2628,9579,1.43,9.8,22.1,0.78
,,,その他市街部,235.1,8489,1504,9993,1996,354,2349,11177,2249,13426,2628,529,3156,1.34,10,15.1,0.8
,,,平地部,149.9,10630,2365,12995,1593,355,1948,13759,3613,17372,2063,542,2604,1.34,10.5,18.2,0.74
,,,山地部,339.7,5809,2204,8013,1973,749,2722,7390,4523,11913,2511,1536,4047,1.49,10.5,27.5,0.63
,,,合計,1334.8,10159,2452,12611,13560,3273,16833,13350,4338,17688,17820,5790,23610,1.4,10.1,19.4,0.78
,,指定市の一般市道,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,山地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,合計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,横浜市,高速自動車国道,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),6.6,54097,17937,72034,357,118,475,74506,34220,108726,492,226,718,1.51,9.4,24.9,0.76
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,6.3,60618,21059,81677,382,133,515,82710,39326,122036,521,248,769,1.49,9.4,25.8,0.87
,,,山地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,合計,12.9,57282,19462,76743,739,251,990,78513,36714,115226,1013,474,1486,1.5,9.4,25.4,0.81
,,一般国道の自動車専用道路,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,山地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,合計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,高規格幹線道路,DID(商業地域),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,DID(商業地域を除く),6.6,54097,17937,72034,357,118,475,74506,34220,108726,492,226,718,1.51,9.4,24.9,0.76
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,6.3,60618,21059,81677,382,133,515,82710,39326,122036,521,248,769,1.49,9.4,25.8,0.87
,,,山地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,合計,12.9,57282,19462,76743,739,251,990,78513,36714,115226,1013,474,1486,1.5,9.4,25.4,0.81
,,都市高速道路,DID(商業地域),20.2,27887,7049,34936,563,142,706,37483,11084,48567,757,224,981,1.39,9.7,20.2,0.7
,,,DID(商業地域を除く),49.2,29756,9417,39173,1464,463,1927,40296,14480,54776,1983,712,2695,1.4,9.8,24,0.62
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,山地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,合計,69.4,29212,8728,37940,2027,606,2633,39477,13492,52969,2740,936,3676,1.4,9.8,23,0.64
,,高速道路計,DID(商業地域),20.2,27887,7049,34936,563,142,706,37483,11084,48567,757,224,981,1.39,9.7,20.2,0.7
,,,DID(商業地域を除く),55.8,32635,10424,43060,1821,582,2403,44342,16815,61157,2474,938,3413,1.42,9.7,24.2,0.65
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,6.3,60618,21059,81677,382,133,515,82710,39326,122036,521,248,769,1.49,9.4,25.8,0.87
,,,山地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,合計,82.3,33612,10410,44022,2766,857,3623,45595,17132,62727,3753,1410,5162,1.42,9.7,23.6,0.68
,,高速道路計（一般国道の自動車専用道路を除く）,DID(商業地域),20.2,27887,7049,34936,563,142,706,37483,11084,48567,757,224,981,1.39,9.7,20.2,0.7
,,,DID(商業地域を除く),55.8,32635,10424,43060,1821,582,2403,44342,16815,61157,2474,938,3413,1.42,9.7,24.2,0.65
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,6.3,60618,21059,81677,382,133,515,82710,39326,122036,521,248,769,1.49,9.4,25.8,0.87
,,,山地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,合計,82.3,33612,10410,44022,2766,857,3623,45595,17132,62727,3753,1410,5162,1.42,9.7,23.6,0.68
,,一般国道（直轄）,DID(商業地域),55,17243,2771,20014,948,152,1101,24335,4101,28436,1338,226,1564,1.42,9.5,13.8,0.98
,,,DID(商業地域を除く),26.9,16463,4989,21452,443,134,577,24186,7587,31773,651,204,855,1.48,9.4,23.3,1.2
,,,その他市街部,25.7,38432,13783,52216,988,354,1342,56430,21725,78155,1450,558,2009,1.5,9.3,26.4,1.13
,,,平地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,山地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,合計,107.6,22109,5956,28065,2379,641,3020,31964,9182,41145,3439,988,4427,1.47,9.4,21.2,1.08
,,一般国道（その他）,DID(商業地域),5,15441,2612,18052,77,13,90,20626,3939,24565,103,20,123,1.36,10.2,14.5,1.11
,,,DID(商業地域を除く),39.8,37593,6273,43866,1496,250,1746,49206,8791,57996,1958,350,2308,1.32,10.4,14.3,0.78
,,,その他市街部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,平地部,10.7,36587,6323,42909,391,68,459,47352,8519,55871,507,91,598,1.3,10.7,14.7,0.74
,,,山地部,3.2,35234,5066,40300,113,16,129,45499,6714,52213,146,21,167,1.3,11.5,12.6,0.9
,,,合計,58.7,35394,5904,41299,2078,347,2424,46231,8215,54446,2714,482,3196,1.32,10.5,14.3,0.79
,,一般国道計,DID(商業地域),60,17093,2758,19851,1026,165,1191,24026,4087,28113,1442,245,1687,1.42,9.5,13.9,0.99
,,,DID(商業地域を除く),66.7,29072,5755,34827,1939,384,2323,39115,8305,47420,2609,554,3163,1.36,10.1,16.5,0.86
,,,その他市街部,25.7,38432,13783,52216,988,354,1342,56430,21725,78155,1450,558,2009,1.5,9.3,26.4,1.13
,,,平地部,10.7,36587,6323,42909,391,68,459,47352,8519,55871,507,91,598,1.3,10.7,14.7,0.74
,,,山地部,3.2,35234,5066,40300,113,16,129,45499,6714,52213,146,21,167,1.3,11.5,12.6,0.9
,,,合計,166.3,26798,5938,32736,4457,987,5444,37000,8840,45840,6153,1470,7623,1.4,9.9,18.1,0.93
,,主要地方道（都道府県道）,DID(商業地域),28.7,14624,1867,16492,420,54,473,19759,3066,22825,567,88,655,1.38,9.4,11.3,1.06
,,,DID(商業地域を除く),68.5,12491,2146,14637,856,147,1003,16649,3274,19924,1140,224,1365,1.36,9.7,14.7,1
,,,その他市街部,23.3,12513,1868,14381,292,44,335,16532,2896,19428,385,67,453,1.35,9.7,13,1.02
,,,平地部,0.3,11882,1720,13602,4,1,4,15934,2837,18771,5,1,6,1.38,9.8,12.6,1.45
,,,山地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,合計,120.8,13001,2025,15026,1570,245,1815,17364,3151,20514,2098,381,2478,1.37,9.6,13.5,1.02
,,主要地方道（指定市道）,DID(商業地域),17.6,13360,1758,15118,235,31,266,17862,2755,20617,314,48,363,1.36,9.4,11.6,1.01
,,,DID(商業地域を除く),35,16639,2730,19369,582,96,678,22289,4431,26720,780,155,935,1.38,10,14.1,1.16
,,,その他市街部,5.2,22742,3559,26301,118,19,137,30540,6019,36559,159,31,190,1.39,9.9,13.5,0.57
,,,平地部,6.7,11836,1595,13431,79,11,90,15504,2494,17998,104,17,121,1.34,9.1,11.9,1.05
,,,山地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,合計,64.5,15737,2414,18151,1015,156,1171,21041,3901,24942,1357,252,1609,1.37,9.8,13.3,1
,,主要地方道計,DID(商業地域),46.3,14144,1826,15970,655,85,739,19038,2947,21986,881,136,1018,1.38,9.4,11.4,1.04
,,,DID(商業地域を除く),103.5,13894,2344,16237,1438,243,1681,18556,3665,22222,1921,379,2300,1.37,9.8,14.4,1.06
,,,その他市街部,28.5,14380,2176,16556,410,62,472,19088,3466,22554,544,99,643,1.36,9.8,13.1,0.83
,,,平地部,7,11838,1600,13438,83,11,94,15522,2509,18031,109,18,126,1.34,9.1,11.9,1.06
,,,山地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,合計,185.3,13953,2161,16114,2586,400,2986,18644,3412,22056,3455,632,4087,1.37,9.7,13.4,1.01
,,一般都道府県道,DID(商業地域),11.1,8513,1368,9882,94,15,110,11202,2001,13204,124,22,147,1.34,9.4,13.8,0.89
,,,DID(商業地域を除く),73.3,9831,1291,11122,721,95,815,12824,2002,14825,940,147,1087,1.33,9.8,11.6,0.95
,,,その他市街部,6.1,11489,1486,12975,70,9,79,15148,2415,17563,92,15,107,1.35,10,11.4,1.09
,,,平地部,4,8731,1105,9835,35,4,39,11188,1649,12837,45,7,51,1.31,10.1,11.2,0.98
,,,山地部,1.8,10425,1045,11470,19,2,21,13486,1769,15255,24,3,27,1.33,10.7,9.1,3.62
,,,合計,96.3,9749,1300,11049,939,125,1064,12728,2009,14737,1226,193,1419,1.33,9.8,11.8,0.97
,,地方道計,DID(商業地域),57.4,13055,1737,14792,749,100,849,17523,2764,20287,1006,159,1164,1.37,9.4,11.7,1.02
,,,DID(商業地域を除く),176.8,12209,1907,14117,2159,337,2496,16180,2976,19155,2861,526,3387,1.36,9.8,13.5,1.02
,,,その他市街部,34.6,13870,2055,15925,480,71,551,18393,3281,21674,636,114,750,1.36,9.8,12.9,0.86
,,,平地部,11,10708,1420,12128,118,16,133,13946,2196,16142,153,24,178,1.33,9.4,11.7,1.03
,,,山地部,1.8,10425,1045,11470,19,2,21,13486,1769,15255,24,3,27,1.33,10.7,9.1,3.62
,,,合計,281.6,12516,1866,14382,3524,526,4050,16621,2932,19553,4680,826,5506,1.36,9.7,13,1
,,一般道路計,DID(商業地域),117.4,15119,2259,17377,1775,265,2040,20846,3440,24287,2447,404,2851,1.4,9.5,13,1
,,,DID(商業地域を除く),243.5,16828,2961,19790,4098,721,4819,22462,4436,26898,5470,1080,6550,1.36,10,15,0.93
,,,その他市街部,60.3,24339,7053,31392,1468,425,1893,34605,11142,45746,2087,672,2759,1.46,9.5,22.5,1.03
,,,平地部,21.7,23468,3838,27306,509,83,593,30418,5314,35732,660,115,775,1.31,10.4,14.1,0.79
,,,山地部,5,26303,3619,29921,132,18,150,33974,4934,38908,170,25,195,1.3,11.4,12.1,1
,,,合計,447.9,17819,3378,21197,7981,1513,9494,24187,5126,29313,10834,2296,13129,1.38,9.8,15.9,0.96
,,合計,DID(商業地域),137.6,16993,2962,19955,2338,408,2746,23289,4563,27851,3205,628,3832,1.4,9.6,14.8,0.9
,,,DID(商業地域を除く),299.3,19775,4353,24128,5919,1303,7221,26541,6744,33285,7944,2018,9962,1.38,9.9,18,0.81
,,,その他市街部,60.3,24339,7053,31392,1468,425,1893,34605,11142,45746,2087,672,2759,1.46,9.5,22.5,1.03
,,,平地部,28,31827,7712,39540,891,216,1107,42184,12966,55150,1181,363,1544,1.39,9.9,19.5,0.83
,,,山地部,5,26303,3619,29921,132,18,150,33974,4934,38908,170,25,195,1.3,11.4,12.1,1
,,,合計,530.2,20270,4470,24740,10747,2370,13117,27510,6989,34500,14586,3706,18292,1.39,9.8,18.1,0.86
,,指定市の一般市道,DID(商業地域),16.1,14214,1612,15827,229,26,255,18830,2736,21566,303,44,347,1.36,9.4,10.2,0.95
,,,DID(商業地域を除く),85.4,11509,1867,13376,983,159,1142,15225,2873,18097,1300,245,1546,1.35,9.8,14,0.98
,,,その他市街部,23.8,16557,2190,18748,394,52,446,22147,3705,25852,527,88,615,1.38,10,11.7,0.92
,,,平地部,0.1,12078,1843,13921,1,-,1,15995,2798,18793,2,-,2,1.35,11,13.2,0.61
,,,山地部,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,合計,125.4,12815,1896,14711,1607,238,1845,17002,3013,20015,2132,378,2510,1.36,9.8,12.9,0.96
,川崎市,高速自動車国道,DID(商業地域),4.3,46076,12894,58970,198,55,254,66882,26412,93294,288,114,401,1.58,9.5,21.9,0.65
,,,DID(商業地域を除く),1,49310,13909,63219,49,14,63,69156,27683,96839,69,28,97,1.53,9.4,22,0.66
